id;nombre_receta;categoria;tiempo_preparacion_min;dificultad;instrucciones;;;id_ingredientes;id_receta;ingredientes
121;Tacos de Pescado;Saludable;30;Media;1. Cocina el pescado. 2. Calienta las tortillas. 3. Sirve el pescado con repollo;;;221;121;Filete de pescado blanco, tortillas de maíz, repollo, crema agria, salsa picante
122;Crema de Brócoli;Saludable;35;Fácil;1. Sofríe la cebolla y el ajo. 2. Añade el brócoli y el caldo. 3. Cocina hasta que el brócoli esté suave. 4. Licúa la mezcla y añade la crema de leche.;;;222;122;Brócoli, cebolla, ajo, caldo de pollo, crema de leche, sal, pimienta
123;Hamburguesas Caseras;Rápida;20;Fácil;1. Forma las hamburguesas y cocínalas. 2. Tuesta los panes. 3. Arma las hamburguesas con los vegetales y el queso.;;;223;123;Carne molida, pan de hamburguesa, lechuga, tomate, cebolla, queso, salsa, pepinillos
124;Pasta Alfredo;Rápida;20;Fácil;1. Cocina la pasta. 2. Derrite la mantequilla y sofríe el ajo. 3. Añade la crema de leche y el queso. 4. Combina la salsa con la pasta.;;;224;124;Fettuccine, crema de leche, queso parmesano, mantequilla, ajo, perejil
125;Bizcocho de Limón;Postres;50;Media;1. Bate los huevos con el azúcar. 2. Incorpora el yogur;;;225;125;Harina, azúcar, huevos, yogur, aceite, jugo y ralladura de limón, polvo de hornear
126;Sopa de Tomate y Albahaca;Saludable;30;Fácil;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y añade la albahaca.;;;226;126;Tomates, albahaca fresca, ajo, cebolla, caldo de vegetales, sal, pimienta
127;Quesadillas de Queso;Rápida;10;Fácil;1. Coloca una tortilla en una sartén. 2. Espolvorea queso sobre la tortilla. 3. Cubre con otra tortilla y cocina hasta que el queso se derrita.;;;227;127;Tortillas de harina, queso rallado, mantequilla
128;Risotto de Champiñones;Saludable;40;Media;1. Sofríe la cebolla y los champiñones. 2. Añade el arroz y el vino. 3. Incorpora el caldo poco a poco. 4. Mezcla con mantequilla y queso al final.;;;228;128;Arroz Arborio, champiñones, cebolla, caldo de verduras, vino blanco, queso parmesano, mantequilla
129;Muffins de Arándanos;Postres;30;Fácil;1. Mezcla los ingredientes secos. 2. En otro recipiente;;;229;129;Harina, azúcar, huevos, leche, aceite, arándanos, polvo de hornear
130;Pollo Asado con Hierbas;Saludable;70;Media;1. Prepara el pollo y sazónalo con las hierbas y especias. 2. Rellena el pollo con rodajas de limón. 3. Hornea a 200°C hasta que esté dorado y cocido.;;;230;130;Pollo entero, romero, tomillo, ajo, limón, aceite de oliva, sal, pimienta
131;Crepes con Nutella y Frutas;Rápida;20;Fácil;1. Bate los ingredientes para la masa de crepes. 2. Cocina los crepes en una sartén. 3. Rellena con Nutella y frutas.;;;231;131;Harina, huevos, leche, azúcar, mantequilla, Nutella, fresas, banano
132;Hummus Casero;Saludable;15;Fácil;1. Mezcla todos los ingredientes en un procesador de alimentos. 2. Procesa hasta que quede una pasta suave.;;;232;132;Garbanzos, tahini, ajo, jugo de limón, aceite de oliva, comino, sal
133;Chuletas de Cerdo a la Naranja;Rápida;35;Media;1. Prepara la marinada con los ingredientes. 2. Marina las chuletas por 15 minutos. 3. Cocina las chuletas en una sartén con la marinada.;;;233;133;Chuletas de cerdo, jugo de naranja, miel, salsa de soya, ajo, jengibre
134;Cheesecake sin Horno;Postres;30;Fácil;1. Prepara la base de galletas. 2. Bate el queso crema con azúcar y vainilla. 3. Incorpora la crema batida. 4. Vierte sobre la base y refrigera por 4 horas.;;;234;134;Galletas, mantequilla, queso crema, azúcar en polvo, crema batida, vainilla
135;Papas Rellenas al Horno;Saludable;60;Media;1. Hornea las papas hasta que estén suaves. 2. Saca el interior de las papas y machácalo. 3. Mezcla con el resto de los ingredientes y rellena las papas. 4. Hornea de nuevo hasta que el queso se derrita.;;;235;135;Papas, queso cheddar, brócoli, crema agria, tocino, sal, pimienta
136;Smoothie de Moras y Menta;Saludable;5;Fácil;1. Combina todos los ingredientes en la licuadora. 2. Licúa hasta que quede suave y homogéneo.;;;236;136;Moras, hojas de menta fresca, yogur griego, leche de almendras, miel
137;Ceviche de Camarón;Saludable;25;Fácil;1. Cocina los camarones. 2. Pica finamente los vegetales. 3. Mezcla todo con el jugo de limón y sazona.;;;237;137;Camarones, jugo de limón, cebolla morada, cilantro, tomate, jalapeño, sal
138;Fideos Salteados con Carne de Res;Rápida;25;Media;1. Cocina los fideos. 2. Saltea la carne y los vegetales. 3. Agrega los fideos y la salsa de soya.;;;238;138;Fideos de arroz, carne de res, brócoli, pimientos, cebolla, salsa de soya, ajo, jengibre
139;Pollo con Champiñones en Salsa de Crema;Rápida;30;Fácil;1. Saltea la cebolla y el pollo. 2. Agrega los champiñones y el ajo. 3. Vierte la crema y el perejil. 4. Sirve sobre pasta o arroz.;;;239;139;Pechuga de pollo, champiñones, crema de leche, ajo, cebolla, perejil, sal, pimienta
140;Galletas de Chispas de Chocolate;Postres;20;Fácil;1. Bate la mantequilla y los azúcares. 2. Agrega los huevos y la vainilla. 3. Incorpora la harina;;;240;140;Harina, mantequilla, azúcar, huevos, chispas de chocolate, bicarbonato de sodio, sal
141;Sándwich Club;Rápida;15;Fácil;1. Tuesta el pan. 2. Cocina el tocino y el pavo. 3. Arma el sándwich en capas con todos los ingredientes.;;;241;141;Pan de molde, pechuga de pavo, tocino, lechuga, tomate, mayonesa, queso, aguacate
142;Crema de Calabaza;Saludable;40;Media;1. Sofríe la cebolla y la zanahoria. 2. Agrega la calabaza y el caldo. 3. Cocina hasta que la calabaza esté suave. 4. Licúa y añade la crema.;;;242;142;Calabaza, cebolla, zanahoria, caldo de verduras, jengibre, crema de leche, sal, pimienta
143;Brochetas de Pollo y Vegetales;Saludable;25;Fácil;1. Corta el pollo y los vegetales. 2. Ensarta en brochetas y marina con la salsa. 3. Cocina a la parrilla o en el horno.;;;243;143;Pechuga de pollo, pimientos, cebolla, calabacín, salsa de soya, miel, jengibre
144;Arroz a la Cubana;Rápida;20;Fácil;1. Cocina el arroz. 2. Fríe los huevos y los plátanos. 3. Cocina las salchichas. 4. Sirve todo junto con salsa de tomate.;;;244;144;Arroz, huevos, plátanos maduros, salsa de tomate, salchichas
145;Helado Casero de Vainilla;Postres;120;Media;1. Calienta la leche y la crema. 2. Bate las yemas con el azúcar. 3. Mezcla todo y cocina a fuego lento. 4. Deja enfriar y congela.;;;245;145;Crema de leche, leche, azúcar, yemas de huevo, vainilla
146;Sopa de Brócoli con Queso;Saludable;35;Fácil;1. Cocina el brócoli;;;246;146;Brócoli, caldo de pollo, cebolla, ajo, queso cheddar, crema de leche, sal, pimienta
147;Tostada de Aguacate;Saludable;5;Fácil;1. Tuesta el pan. 2. Machaca el aguacate sobre el pan. 3. Sazona con sal;;;247;147;Pan integral, aguacate, sal, pimienta, hojuelas de chile
148;Estofado de Carne;Saludable;120;Difícil;1. Dora la carne. 2. Sofríe las verduras. 3. Mezcla todo con el caldo y el vino. 4. Cocina a fuego lento por 2 horas.;;;248;148;Carne de res para estofado, zanahorias, papas, cebolla, caldo de res, vino tinto, especias
149;Mousaka;Saludable;90;Difícil;1. Corta y fríe las berenjenas y papas. 2. Prepara la salsa de carne y la bechamel. 3. Arma las capas en un molde. 4. Hornea por 40 minutos.;;;249;149;Carne molida, berenjenas, papas, salsa de tomate, bechamel, queso rallado
150;Batido de proteína;Saludable;5;Fácil;1. Licúa todos los ingredientes hasta que quede suave.;;;250;150;Polvo de proteína, leche, banano, espinacas
151;Ensalada de Atún;Rápida;10;Fácil;1. Mezcla todos los ingredientes en un tazón. 2. Sirve en pan;;;251;151;Atún en lata, mayonesa, apio picado, cebolla picada, sal, pimienta
152;Galletas de Jengibre;Postres;30;Media;1. Mezcla los ingredientes secos. 2. Bate la mantequilla y el azúcar. 3. Combina todo y forma las galletas. 4. Hornea a 180°C.;;;252;152;Harina, mantequilla, azúcar, melaza, jengibre en polvo, canela, clavo de olor, bicarbonato
153;Tortilla de Espinacas;Saludable;15;Fácil;1. Saltea las espinacas. 2. Bate los huevos con el queso. 3. Combina y cocina en una sartén.;;;253;153;Huevos, espinacas frescas, queso feta, sal, pimienta
154;Sopa de Tortilla;Rápida;30;Media;1. Fríe tiras de tortilla. 2. Prepara el caldo de tomate. 3. Sirve el caldo con las tiras de tortilla y los aderezos.;;;254;154;Tortillas de maíz, caldo de pollo, tomate, chile, aguacate, queso, crema
155;Cheesecake de Oreo;Postres;120;Difícil;1. Tritura las galletas y haz una base. 2. Prepara la mezcla de queso crema y azúcar. 3. Combina la crema batida. 4. Refrigera por varias horas.;;;255;155;Galletas Oreo, mantequilla, queso crema, azúcar, crema batida
156;Ensalada Griega;Saludable;15;Fácil;1. Corta todos los vegetales. 2. Mezcla con el queso;;;256;156;Pepino, tomate, cebolla morada, aceitunas, queso feta, aceite de oliva, orégano
157;Pollo con Pimientos y Cebolla;Rápida;30;Fácil;1. Saltea el pollo hasta que esté dorado. 2. Agrega los pimientos;;;257;157;Pechuga de pollo, pimientos, cebolla, ajo, salsa de soya
158;Tiramisú;Postres;45;Difícil;1. Prepara el café. 2. Bate las yemas con azúcar. 3. Mezcla el mascarpone. 4. Alterna capas de bizcochos remojados;;;258;158;Bizcochos de soletilla, café espresso, mascarpone, huevos, azúcar, cacao en polvo
159;Ensalada de Pasta;Saludable;25;Fácil;1. Cocina la pasta. 2. Pica los vegetales. 3. Mezcla todo con el aderezo.;;;259;159;Pasta corta, tomate cherry, pepino, cebolla roja, aceitunas, queso feta, aderezo italiano
160;Arroz con Pollo;Rápida;40;Media;1. Sofríe las verduras. 2. Añade el pollo y el arroz. 3. Vierte el caldo y cocina hasta que el arroz esté listo.;;;260;160;Arroz, pollo, arvejas, zanahoria, cebolla, ajo, pimiento, caldo de pollo
161;Milanesa de Cerdo;Rápida;25;Fácil;1. Pasa los filetes por harina;;;261;161;Filetes de cerdo, pan rallado, huevo, harina, aceite
162;Waffles;Rápida;20;Fácil;1. Mezcla los ingredientes secos. 2. Combina los líquidos. 3. Une ambas mezclas. 4. Cocina en una waflera.;;;262;162;Harina, huevo, leche, mantequilla derretida, azúcar, polvo de hornear
163;Soufflé de Queso;Postres;50;Difícil;1. Prepara la salsa bechamel. 2. Separa las claras de las yemas. 3. Mezcla las yemas con la salsa. 4. Bate las claras a punto de nieve. 5. Incorpora suavemente las claras a la mezcla. 6. Hornea.;;;263;163;Queso rallado, huevos, harina, leche, mantequilla, sal, pimienta
164;Tostada con Tomate y Aguacate;Saludable;5;Fácil;1. Tuesta el pan. 2. Pica el tomate y el aguacate. 3. Coloca sobre el pan y sazona.;;;264;164;Pan de centeno, tomate, aguacate, sal, pimienta, aceite de oliva
165;Sopa de Verduras;Saludable;30;Fácil;1. Pica las verduras y cocina en el caldo hasta que estén suaves. 2. Condimenta al gusto.;;;265;165;Zanahorias, papas, apio, cebolla, caldo de verduras, sal, pimienta
166;Albóndigas en Salsa de Tomate;Rápida;35;Media;1. Prepara las albóndigas. 2. Cocínalas en la salsa de tomate a fuego lento.;;;266;166;Carne molida, pan rallado, huevo, cebolla, ajo, salsa de tomate
167;Budín de Pan;Postres;60;Fácil;1. Remoja el pan en la leche. 2. Mezcla con el resto de los ingredientes. 3. Vierte en un molde y hornea a baño maría.;;;267;167;Pan viejo, leche, huevos, azúcar, vainilla, pasas, canela
168;Huevos Revueltos;Rápida;5;Fácil;1. Bate los huevos con sal y pimienta. 2. Cocina en una sartén con mantequilla a fuego medio.;;;268;168;Huevos, mantequilla, sal, pimienta
169;Bistec encebollado;Rápida;25;Fácil;1. Cocina el bistec. 2. Saltea la cebolla con el ajo. 3. Agrega el bistec y la salsa de soya.;;;269;169;Bistec de res, cebolla, ajo, salsa de soya, jugo de limón
170;Tarta de Chocolate sin Harina;Postres;45;Difícil;1. Derrite el chocolate y la mantequilla. 2. Bate los huevos con el azúcar. 3. Mezcla todo y hornea a 180°C.;;;270;170;Chocolate amargo, mantequilla, huevos, azúcar, cacao en polvo
171;Sopa de Cebolla;Saludable;45;Media;1. Carameliza las cebollas. 2. Añade el vino y el caldo. 3. Sirve en tazones con pan y queso;;;271;171;Cebollas, mantequilla, caldo de res, vino blanco, pan, queso Gruyere
172;Pollo en Salsa Teriyaki;Rápida;30;Fácil;1. Corta y cocina el pollo. 2. Agrega la salsa teriyaki;;;272;172;Pechuga de pollo, salsa teriyaki, ajo, jengibre, ajonjolí
173;Muffins de Chocolate;Postres;30;Fácil;1. Mezcla los ingredientes secos. 2. Bate los líquidos. 3. Combina ambas mezclas. 4. Hornea a 180°C.;;;273;173;Harina, cacao en polvo, azúcar, huevos, leche, aceite, chispas de chocolate, polvo de hornear
174;Pescado al Vapor;Saludable;20;Fácil;1. Coloca el pescado con el jengibre y cebollín. 2. Cocina al vapor. 3. Vierte la salsa de soya y aceite de sésamo.;;;274;174;Filete de pescado blanco, jengibre, cebollín, salsa de soya, aceite de sésamo
175;Sopa de Puerro y Papa;Saludable;40;Fácil;1. Sofríe los puerros y la cebolla. 2. Añade las papas y el caldo. 3. Cocina hasta que las verduras estén suaves. 4. Licúa y añade la crema.;;;275;175;Puerros, papas, cebolla, caldo de pollo, crema de leche, sal, pimienta
176;Pasta Pesto;Rápida;15;Fácil;1. Cocina la pasta. 2. Prepara el pesto en un procesador. 3. Mezcla el pesto con la pasta.;;;276;176;Pasta, albahaca fresca, piñones, ajo, queso parmesano, aceite de oliva
177;Sándwich de Atún;Rápida;5;Fácil;1. Mezcla el atún con mayonesa. 2. Prepara el sándwich con la mezcla de atún y vegetales.;;;277;177;Atún en lata, mayonesa, pan, lechuga, tomate
178;Tortitas de Calabacín;Saludable;20;Fácil;1. Ralla el calabacín y exprime el exceso de agua. 2. Mezcla con el resto de los ingredientes. 3. Forma tortitas y cocina en una sartén.;;;278;178;Calabacín rallado, huevos, harina, cebolla, queso parmesano, sal, pimienta
179;Pan de Banano;Postres;60;Media;1. Machaca los bananos. 2. Mezcla con los huevos;;;279;179;Banano maduro, harina, azúcar, huevos, mantequilla, bicarbonato de sodio
180;Arroz con Camarones;Rápida;30;Media;1. Sofríe los vegetales. 2. Añade los camarones y el arroz. 3. Vierte el caldo y cocina hasta que el arroz esté listo.;;;280;180;Arroz, camarones, cebolla, pimientos, ajo, tomate, caldo de camarón
181;Galletas de Mantequilla;Postres;25;Fácil;1. Bate la mantequilla con el azúcar. 2. Agrega el huevo y la vainilla. 3. Incorpora la harina. 4. Refrigera la masa y luego forma las galletas. 5. Hornea a 180°C.;;;281;181;Harina, mantequilla, azúcar, huevo, vainilla
182;Ensalada de Quinoa con Vegetales;Saludable;20;Fácil;1. Cocina la quinoa y deja enfriar. 2. Pica los vegetales. 3. Mezcla todo con el aderezo.;;;282;182;Quinoa, pepino, tomate cherry, pimiento rojo, cebolla morada, aceite de oliva, jugo de limón, sal, pimienta
183;Salmón al Horno con Espárragos;Saludable;30;Fácil;1. Precalienta el horno a 200°C. 2. Coloca el salmón y los espárragos en una bandeja. 3. Sazona y hornea por 15-20 minutos.;;;283;183;Filete de salmón, espárragos, aceite de oliva, ajo en polvo, sal, pimienta, rodajas de limón
184;Pasta Carbonara;Rápida;25;Media;1. Cocina la pasta. 2. Dora la panceta. 3. Mezcla los huevos y el queso. 4. Combina todo con la pasta caliente.;;;284;184;Spaghetti, huevo, queso Parmigiano, panceta, pimienta negra
185;Brownies de Chocolate;Postres;40;Fácil;1. Derrite la mantequilla y mezcla con el azúcar. 2. Añade los huevos y la vainilla. 3. Incorpora la harina;;;285;185;Mantequilla, azúcar, huevos, harina, cacao en polvo, sal
186;Guacamole Casero;Rápida;10;Fácil;1. Machaca los aguacates. 2. Pica finamente el resto de los ingredientes. 3. Mezcla todo y sazona al gusto.;;;286;186;Aguacates maduros, cebolla, tomate, cilantro, jugo de limón, sal
187;Sopa de Lentejas;Saludable;45;Media;1. Sofríe las verduras picadas. 2. Añade las lentejas y el caldo. 3. Cocina a fuego lento hasta que las lentejas estén blandas.;;;287;187;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta
188;Tacos de Pollo;Rápida;30;Fácil;1. Cocina y desmenuza el pollo. 2. Calienta las tortillas. 3. Sirve el pollo con los vegetales y los aderezos.;;;288;188;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos
189;Smoothie de Frutas;Saludable;5;Fácil;1. Coloca todos los ingredientes en una licuadora. 2. Licúa hasta obtener una mezcla homogénea.;;;289;189;Banano, fresas, yogur, leche, miel
190;Panqueques con Frutas;Rápida;15;Fácil;1. Mezcla los ingredientes secos. 2. En otro recipiente;;;290;190;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano
191;Arroz Frito con Verduras;Rápida;20;Fácil;1. Sofríe las verduras en un wok. 2. Añade el arroz y la salsa de soya. 3. Incorpora el huevo revuelto.;;;291;191;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo
192;Crema de Tomate;Saludable;35;Fácil;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y mezcla con la crema.;;;292;192;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta
193;Cupcakes de Vainilla;Postres;50;Media;1. Precalienta el horno. 2. Bate la mantequilla y el azúcar. 3. Agrega los huevos y la vainilla. 4. Incorpora la harina y la leche alternadamente. 5. Hornea por 20 minutos.;;;293;193;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear
194;Pizza Casera;Rápida;40;Media;1. Extiende la masa. 2. Unta la salsa y añade el queso y los ingredientes. 3. Hornea a 220°C hasta que el queso se derrita.;;;294;194;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano
195;Lasaña de Carne;Saludable;90;Difícil;1. Prepara la salsa boloñesa. 2. En un molde;;;295;195;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano
196;Pollo al Curry;Rápida;30;Media;1. Saltea la cebolla. 2. Añade el pollo y el curry. 3. Vierte la leche de coco y cocina a fuego lento. 4. Sirve con arroz basmati.;;;296;196;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco
197;Enchiladas de Queso;Rápida;35;Media;1. Rellena las tortillas con queso y enróllalas. 2. Colócalas en un molde para hornear. 3. Cubre con salsa y más queso. 4. Hornea por 15 minutos.;;;297;197;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria
198;Macarrones con Queso;Rápida;20;Fácil;1. Cocina los macarrones. 2. Prepara una salsa bechamel con mantequilla;;;298;198;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta
199;Tarta de Manzana;Postres;60;Media;1. Prepara la masa y el relleno de manzana. 2. Coloca el relleno sobre la masa. 3. Hornea a 180°C por 45 minutos.;;;299;199;Masa de hojaldre, manzanas, canela, azúcar, mantequilla
200;Batido de Fresa y Banano;Saludable;5;Fácil;1. Coloca todos los ingredientes en la licuadora. 2. Licúa hasta obtener una consistencia suave.;;;300;200;Fresas, banano, leche de almendras, miel, semillas de chía
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;id_ingredientes;ingredientes;;;id_receta;id_ingredientes;
;;;;101;Quinoa, pepino, tomate cherry, pimiento rojo, cebolla morada, aceite de oliva, jugo de limón, sal, pimienta;;;1;101;
;;;;102;Filete de salmón, espárragos, aceite de oliva, ajo en polvo, sal, pimienta, rodajas de limón;;;2;102;
;;;;103;Spaghetti, huevo, queso Parmigiano, panceta, pimienta negra;;;3;103;
;;;;104;Mantequilla, azúcar, huevos, harina, cacao en polvo, sal;;;4;104;
;;;;105;Aguacates maduros, cebolla, tomate, cilantro, jugo de limón, sal;;;5;105;
;;;;106;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;;;6;106;
;;;;107;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos;;;7;107;
;;;;108;Banano, fresas, yogur, leche, miel;;;8;108;
;;;;109;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano;;;9;109;
;;;;110;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo;;;10;110;
;;;;111;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta;;;11;111;
;;;;112;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear;;;12;112;
;;;;113;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano;;;13;113;
;;;;114;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano;;;14;114;
;;;;115;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco;;;15;115;
;;;;116;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria;;;16;116;
;;;;117;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta;;;17;117;
;;;;118;Masa de hojaldre, manzanas, canela, azúcar, mantequilla;;;18;118;
;;;;119;Fresas, banano, leche de almendras, miel, semillas de chía;;;19;119;
;;;;120;Pan de molde, huevos, leche, canela, azúcar, vainilla;;;20;120;
;;;;121;Pechuga de pollo, zanahoria, apio, fideos, caldo de pollo, sal, pimienta;;;21;121;
;;;;122;Carne molida, pan rallado, huevo, ajo, cebolla, salsa de tomate, spaghetti;;;22;122;
;;;;123;Arroz, leche, azúcar, canela en rama, cáscara de limón;;;23;123;
;;;;124;Papas, mantequilla, leche, sal, pimienta;;;24;124;
;;;;125;Huevos, papas, cebolla, aceite de oliva, sal;;;25;125;
;;;;126;Harina, levadura, azúcar, leche, mantequilla, canela, azúcar morena;;;26;126;
;;;;127;Lechuga romana, crutones, queso parmesano, aderezo César;;;27;127;
;;;;128;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;;;28;128;
;;;;129;Pechuga de pollo, jugo de naranja, salsa de soya, ajo, jengibre, maicena;;;29;129;
;;;;130;Mango, espinacas, yogur, leche de almendras;;;30;130;
;;;;131;Masa de pizza, salsa de tomate, mozzarella, albahaca fresca;;;31;131;
;;;;132;Harina, avena, azúcar morena, huevos, pasas, canela, mantequilla;;;32;132;
;;;;133;Filete de pescado blanco, tortillas de maíz, repollo, crema agria, salsa picante;;;33;133;
;;;;134;Brócoli, cebolla, ajo, caldo de pollo, crema de leche, sal, pimienta;;;34;134;
;;;;135;Carne molida, pan de hamburguesa, lechuga, tomate, cebolla, queso, salsa, pepinillos;;;35;135;
;;;;136;Fettuccine, crema de leche, queso parmesano, mantequilla, ajo, perejil;;;36;136;
;;;;137;Harina, azúcar, huevos, yogur, aceite, jugo y ralladura de limón, polvo de hornear;;;37;137;
;;;;138;Tomates, albahaca fresca, ajo, cebolla, caldo de vegetales, sal, pimienta;;;38;138;
;;;;139;Tortillas de harina, queso rallado, mantequilla;;;39;139;
;;;;140;Arroz Arborio, champiñones, cebolla, caldo de verduras, vino blanco, queso parmesano, mantequilla;;;40;140;
;;;;141;Harina, azúcar, huevos, leche, aceite, arándanos, polvo de hornear;;;41;141;
;;;;142;Pollo entero, romero, tomillo, ajo, limón, aceite de oliva, sal, pimienta;;;42;142;
;;;;143;Harina, huevos, leche, azúcar, mantequilla, Nutella, fresas, banano;;;43;143;
;;;;144;Garbanzos, tahini, ajo, jugo de limón, aceite de oliva, comino, sal;;;44;144;
;;;;145;Chuletas de cerdo, jugo de naranja, miel, salsa de soya, ajo, jengibre;;;45;145;
;;;;146;Galletas, mantequilla, queso crema, azúcar en polvo, crema batida, vainilla;;;46;146;
;;;;147;Papas, queso cheddar, brócoli, crema agria, tocino, sal, pimienta;;;47;147;
;;;;148;Moras, hojas de menta fresca, yogur griego, leche de almendras, miel;;;48;148;
;;;;149;Camarones, jugo de limón, cebolla morada, cilantro, tomate, jalapeño, sal;;;49;149;
;;;;150;Fideos de arroz, carne de res, brócoli, pimientos, cebolla, salsa de soya, ajo, jengibre;;;50;150;
;;;;151;Pechuga de pollo, champiñones, crema de leche, ajo, cebolla, perejil, sal, pimienta;;;51;151;
;;;;152;Harina, mantequilla, azúcar, huevos, chispas de chocolate, bicarbonato de sodio, sal;;;52;152;
;;;;153;Pan de molde, pechuga de pavo, tocino, lechuga, tomate, mayonesa, queso, aguacate;;;53;153;
;;;;154;Calabaza, cebolla, zanahoria, caldo de verduras, jengibre, crema de leche, sal, pimienta;;;54;154;
;;;;155;Pechuga de pollo, pimientos, cebolla, calabacín, salsa de soya, miel, jengibre;;;55;155;
;;;;156;Arroz, huevos, plátanos maduros, salsa de tomate, salchichas;;;56;156;
;;;;157;Crema de leche, leche, azúcar, yemas de huevo, vainilla;;;57;157;
;;;;158;Brócoli, caldo de pollo, cebolla, ajo, queso cheddar, crema de leche, sal, pimienta;;;58;158;
;;;;159;Pan integral, aguacate, sal, pimienta, hojuelas de chile;;;59;159;
;;;;160;Carne de res para estofado, zanahorias, papas, cebolla, caldo de res, vino tinto, especias;;;60;160;
;;;;161;Carne molida, berenjenas, papas, salsa de tomate, bechamel, queso rallado;;;61;161;
;;;;162;Polvo de proteína, leche, banano, espinacas;;;62;162;
;;;;163;Atún en lata, mayonesa, apio picado, cebolla picada, sal, pimienta;;;63;163;
;;;;164;Harina, mantequilla, azúcar, melaza, jengibre en polvo, canela, clavo de olor, bicarbonato;;;64;164;
;;;;165;Huevos, espinacas frescas, queso feta, sal, pimienta;;;65;165;
;;;;166;Tortillas de maíz, caldo de pollo, tomate, chile, aguacate, queso, crema;;;66;166;
;;;;167;Galletas Oreo, mantequilla, queso crema, azúcar, crema batida;;;67;167;
;;;;168;Pepino, tomate, cebolla morada, aceitunas, queso feta, aceite de oliva, orégano;;;68;168;
;;;;169;Pechuga de pollo, pimientos, cebolla, ajo, salsa de soya;;;69;169;
;;;;170;Bizcochos de soletilla, café espresso, mascarpone, huevos, azúcar, cacao en polvo;;;70;170;
;;;;171;Pasta corta, tomate cherry, pepino, cebolla roja, aceitunas, queso feta, aderezo italiano;;;71;171;
;;;;172;Arroz, pollo, arvejas, zanahoria, cebolla, ajo, pimiento, caldo de pollo;;;72;172;
;;;;173;Filetes de cerdo, pan rallado, huevo, harina, aceite;;;73;173;
;;;;174;Harina, huevo, leche, mantequilla derretida, azúcar, polvo de hornear;;;74;174;
;;;;175;Queso rallado, huevos, harina, leche, mantequilla, sal, pimienta;;;75;175;
;;;;176;Pan de centeno, tomate, aguacate, sal, pimienta, aceite de oliva;;;76;176;
;;;;177;Zanahorias, papas, apio, cebolla, caldo de verduras, sal, pimienta;;;77;177;
;;;;178;Carne molida, pan rallado, huevo, cebolla, ajo, salsa de tomate;;;78;178;
;;;;179;Pan viejo, leche, huevos, azúcar, vainilla, pasas, canela;;;79;179;
;;;;180;Huevos, mantequilla, sal, pimienta;;;80;180;
;;;;181;Bistec de res, cebolla, ajo, salsa de soya, jugo de limón;;;81;181;
;;;;182;Chocolate amargo, mantequilla, huevos, azúcar, cacao en polvo;;;82;182;
;;;;183;Cebollas, mantequilla, caldo de res, vino blanco, pan, queso Gruyere;;;83;183;
;;;;184;Pechuga de pollo, salsa teriyaki, ajo, jengibre, ajonjolí;;;84;184;
;;;;185;Harina, cacao en polvo, azúcar, huevos, leche, aceite, chispas de chocolate, polvo de hornear;;;85;185;
;;;;186;Filete de pescado blanco, jengibre, cebollín, salsa de soya, aceite de sésamo;;;86;186;
;;;;187;Puerros, papas, cebolla, caldo de pollo, crema de leche, sal, pimienta;;;87;187;
;;;;188;Pasta, albahaca fresca, piñones, ajo, queso parmesano, aceite de oliva;;;88;188;
